,userid,tweetid,text,hashtags
564976,716152735,1500982212778348545,Xi should pressure Putin to end this war for China’s own sake https://t.co/fQFApnINF3 via @AJEnglish Xi and Putin are a tag team. Would pay close attention to what Xi is doing as Putin stirs dust. #Ukraine #Eupoli #Ukpoli #Uspoli #cdnpoli #bcpoli #Ottawa #Toronto #onpoli #abpoli https://t.co/OTDKVmM3Rb,"[{'text': 'Ukraine', 'indices': [197, 205]}, {'text': 'Eupoli', 'indices': [206, 213]}, {'text': 'Ukpoli', 'indices': [214, 221]}, {'text': 'Uspoli', 'indices': [222, 229]}, {'text': 'cdnpoli', 'indices': [230, 238]}, {'text': 'bcpoli', 'indices': [239, 246]}, {'text': 'Ottawa', 'indices': [247, 254]}, {'text': 'Toronto', 'indices': [255, 263]}, {'text': 'onpoli', 'indices': [264, 271]}, {'text': 'abpoli', 'indices': [272, 279]}]"
61170,2222395582,1500661153588027393,WHAT CAN GO WRONG?   #UkraineUnderAttaсk #FckPutin #FckPtn #UkraineWar #HackersAgainstPutin #OpRussia #StandWithUkraine #UkraineRussianWar #Ukriane #NoFlyZone #PutinsWar #PutinsWarCrimes #Anonymous #AnonFamily #OpAnonymous https://t.co/U8UjzNzHLP,"[{'text': 'UkraineUnderAttaсk', 'indices': [21, 40]}, {'text': 'FckPutin', 'indices': [41, 50]}, {'text': 'FckPtn', 'indices': [51, 58]}, {'text': 'UkraineWar', 'indices': [59, 70]}, {'text': 'HackersAgainstPutin', 'indices': [71, 91]}, {'text': 'OpRussia', 'indices': [92, 101]}, {'text': 'StandWithUkraine', 'indices': [102, 119]}, {'text': 'UkraineRussianWar', 'indices': [120, 138]}, {'text': 'Ukriane', 'indices': [139, 147]}, {'text': 'NoFlyZone', 'indices': [148, 158]}, {'text': 'PutinsWar', 'indices': [159, 169]}, {'text': 'PutinsWarCrimes', 'indices': [170, 186]}, {'text': 'Anonymous', 'indices': [187, 197]}, {'text': 'AnonFamily', 'indices': [198, 209]}, {'text': 'OpAnonymous', 'indices': [210, 222]}]"
309405,2316188953,1500817552817233920,"@SpeakerPelosi Please, stop the double standards and immediately embargo 🇷🇺 energy supplies. Your ambivalence is a weapon to kill #Ukraine.","[{'text': 'Ukraine', 'indices': [130, 138]}]"
551716,1500943895227678724,1500972147191201795,"Innocent civilians were killed by Russian troops. That happened during the 1st day of evacuation from Irpin (the city near #Kyiv)...

Pls, Close the sky over #Ukraine! 🙏

#StopPutin #StopRussianAggression #RuSSiaKills
#StandWithUkraine #CrimesAgainstHumanity #UkraineWar https://t.co/cWGXyYsaDK","[{'text': 'Kyiv', 'indices': [123, 128]}, {'text': 'Ukraine', 'indices': [158, 166]}, {'text': 'StopPutin', 'indices': [171, 181]}, {'text': 'StopRussianAggression', 'indices': [182, 204]}, {'text': 'RuSSiaKills', 'indices': [205, 217]}, {'text': 'StandWithUkraine', 'indices': [218, 235]}, {'text': 'CrimesAgainstHumanity', 'indices': [236, 258]}, {'text': 'UkraineWar', 'indices': [259, 270]}]"
551476,25172076,1500972054379737089,Hey #Ukraine️ !!! Y’all letting the black folks out yet??!!’ #AfricansinUkraine #BlackLivesMatter #RussianUkrainianWar,"[{'text': 'Ukraine️', 'indices': [4, 13]}, {'text': 'AfricansinUkraine', 'indices': [61, 79]}, {'text': 'BlackLivesMatter', 'indices': [80, 97]}, {'text': 'RussianUkrainianWar', 'indices': [98, 118]}]"
397915,1499923964038160385,1500870269384237064,"“When initiating a war, neither side realises the collateral damage until both sides suffer loss beyond repair.” #quote #StopWar #war","[{'text': 'quote', 'indices': [113, 119]}, {'text': 'StopWar', 'indices': [120, 128]}, {'text': 'war', 'indices': [129, 133]}]"
413973,3221998899,1500880414281449487,"Yet #Ukrainians are not welcome ~ 

https://t.co/TQynSVz36f

#Hypocrisy 
#BorisJohnsonResign 
#IStandWithPutin ? 
#istandwithrussia ? 
#Oligarchy 
#oligarchs 
#aiqchallenging","[{'text': 'Ukrainians', 'indices': [4, 15]}, {'text': 'Hypocrisy', 'indices': [61, 71]}, {'text': 'BorisJohnsonResign', 'indices': [73, 92]}, {'text': 'IStandWithPutin', 'indices': [94, 110]}, {'text': 'istandwithrussia', 'indices': [114, 131]}, {'text': 'Oligarchy', 'indices': [135, 145]}, {'text': 'oligarchs', 'indices': [147, 157]}, {'text': 'aiqchallenging', 'indices': [159, 174]}]"
108252,1456811329730187264,1500693536915681280,"Two bomb 💣 waiting to be dropped 1. GST slab ready for review to 8% from 5% 
2. Hike in fuel ⛽️ price 
Guys ready for #inflation days ahead. Can’t we increase corporate tax, why burden middle class only. #FuelPrice #GST #middleclass #UkraineRussianWar @latha_venkatesh @CNBCTV18",[]
56108,1398747487259619329,1500658231856619521,"@SonofHanbi @turtlecoal @SuzCalifornia @dg_rrt Not to be too terre a terre, but I think the Ukrainians are about to put a lot of flamin' bottles down. God Bless Ukraine, forever.#Ukraine","[{'text': 'Ukraine', 'indices': [178, 186]}]"
64717,3037310748,1500663630723162113,"The #NATO StratCom Report on #China claims China’s newfound assertiveness had led to tensions with many countries- but ignores the fact that NATO countries have continually engaged in warfare to protect their financial interests, while China hasn’t bombed anyone in 40 years… https://t.co/Vo5jdhWWo1","[{'text': 'NATO', 'indices': [21, 26]}, {'text': 'China', 'indices': [46, 52]}]"
