Source,Target,like,retweet,both
486326947,49175397,True,True,True
49175397,49175397,True,True,True
819770024,49175397,True,True,True
15961546,49175397,False,True,False
169980652,49175397,False,True,False
1259029564740767744,49175397,True,True,True
3394674339,49175397,False,True,False
283708433,49175397,True,True,True
1205652272820166666,49175397,False,True,False
950785058901778437,49175397,False,True,False
24727463,49175397,True,True,True
2149861842,49175397,True,True,True
119182046,49175397,True,True,True
386184164,49175397,True,True,True
954725972103720960,49175397,True,True,True
1224131065381642246,49175397,True,True,True
58378762,49175397,False,True,False
922433597671460864,49175397,True,True,True
1080666845282213890,49175397,False,True,False
1387443397,49175397,True,True,True
853249124757422082,49175397,False,True,False
1611519468,49175397,False,True,False
18134596,49175397,True,True,True
46485354,49175397,False,True,False
204384708,49175397,False,True,False
238862918,49175397,True,True,True
280716827,49175397,True,True,True
9923582,49175397,True,True,True
23194117,49175397,False,True,False
1466351843039141897,49175397,True,True,True
21713330,49175397,False,True,False
713566933,49175397,True,True,True
784531634376802304,49175397,True,True,True
1142621900,1196514339479597057,False,True,False
965529099547631616,1196514339479597057,True,True,True
1421858440968916994,1196514339479597057,True,True,True
1454700802073939971,1196514339479597057,False,True,False
979628828162224128,1196514339479597057,True,True,True
1257416216194568213,1196514339479597057,True,True,True
701934428986044417,1196514339479597057,True,True,True
1197793446053863424,1196514339479597057,True,True,True
4098879861,1196514339479597057,True,True,True
1259496654811664387,1196514339479597057,True,True,True
1429264232009306120,1196514339479597057,True,True,True
1422100344859996160,1196514339479597057,False,True,False
187439825,1196514339479597057,True,True,True
1384627591282192384,1196514339479597057,True,True,True
1312486710295568384,1196514339479597057,True,True,True
1207024211518201856,1196514339479597057,True,True,True
1321809452325101568,1196514339479597057,True,True,True
1413852601863581701,1196514339479597057,True,True,True
1196514339479597057,1196514339479597057,False,True,False
1241133506278932481,1196514339479597057,True,True,True
3036712394,1196514339479597057,False,True,False
4166270807,1196514339479597057,True,True,True
1126878015198248962,1196514339479597057,False,True,False
1295270972128403457,1196514339479597057,True,True,True
3430485374,1196514339479597057,True,True,True
904271504380231680,1196514339479597057,True,True,True
1422529579,1196514339479597057,False,True,False
1487479745465909250,1196514339479597057,False,True,False
2792610063,1196514339479597057,False,True,False
1169182405,1196514339479597057,True,True,True
1316418674098679808,1196514339479597057,False,True,False
1681236794,1196514339479597057,True,True,True
19341031,1196514339479597057,False,True,False
1438579485364862977,1196514339479597057,True,True,True
1243970932500238337,1196514339479597057,True,True,True
1417166770880880644,1196514339479597057,True,True,True
1446494249105694733,1196514339479597057,False,True,False
1018564096441143296,1196514339479597057,True,True,True
1190875912599937026,1196514339479597057,True,True,True
1304816700,1196514339479597057,True,True,True
857094004869144576,1196514339479597057,True,True,True
1334089615880433666,1196514339479597057,True,True,True
1194975841979183104,1196514339479597057,True,True,True
1441491491629719560,1196514339479597057,True,True,True
1143616319994171392,1196514339479597057,True,True,True
272414407,1196514339479597057,True,True,True
794521303835406336,1196514339479597057,False,True,False
1288117508277338115,1196514339479597057,True,True,True
873959636390621184,1196514339479597057,True,True,True
2874814900,1196514339479597057,False,True,False
1224427129783320576,1196514339479597057,True,True,True
1447558631386460165,1196514339479597057,True,True,True
1172518608162844672,1196514339479597057,True,True,True
2221442917,1196514339479597057,False,True,False
1225107034611363842,1196514339479597057,False,True,False
1438269440710389760,1196514339479597057,True,True,True
1253438258052128768,1196514339479597057,True,True,True
1101851546176929794,1196514339479597057,False,True,False
1420436245726081026,1196514339479597057,True,True,True
2916094244,1196514339479597057,True,True,True
1490975896228208640,1196514339479597057,True,True,True
733140896712151040,1196514339479597057,False,True,False
1444143580801552386,1196514339479597057,True,True,True
1327732104650772480,1196514339479597057,False,True,False
1497203007834009609,1196514339479597057,False,True,False
1363077613321818113,1196514339479597057,True,True,True
1395511185420734473,1196514339479597057,False,True,False
1434392888557854722,1196514339479597057,True,True,True
1214613744849838080,1196514339479597057,False,True,False
1364120314486038530,1196514339479597057,True,True,True
1412916062711058432,1196514339479597057,False,True,False
1533153630,1196514339479597057,True,True,True
1404813356691820556,1196514339479597057,False,True,False
1428083988673990664,1196514339479597057,True,True,True
1477296668982710274,1196514339479597057,False,True,False
88393423,1196514339479597057,False,True,False
1255570084648628224,1196514339479597057,True,True,True
1301110528278896642,1196514339479597057,True,True,True
1305815482830917634,1196514339479597057,True,True,True
622394028,1196514339479597057,True,True,True
1324740896655581185,1196514339479597057,True,True,True
1016672664692383744,1196514339479597057,True,True,True
705730137103450112,1196514339479597057,True,True,True
1008190903,1196514339479597057,False,True,False
1429705669347880960,1196514339479597057,True,True,True
741131705495486464,1196514339479597057,True,True,True
1318386685470625792,1196514339479597057,True,True,True
1359399054334185474,1196514339479597057,True,True,True
1353672578783715328,1196514339479597057,False,True,False
4233775393,1196514339479597057,True,True,True
3323775246,1196514339479597057,True,True,True
1468094505005899776,1196514339479597057,True,True,True
1216584763898765312,1196514339479597057,True,True,True
2720180724,1196514339479597057,True,True,True
1430561209238102018,1196514339479597057,False,True,False
1409468269111676931,1196514339479597057,True,True,True
1432726923700887554,1196514339479597057,False,True,False
1495150831141900290,1196514339479597057,True,True,True
256601177,1196514339479597057,False,True,False
1471530572430327825,1196514339479597057,False,True,False
3251475158,1196514339479597057,True,True,True
1079467081513476101,1196514339479597057,True,True,True
1311770524830388237,1196514339479597057,False,True,False
1291670788878356480,1196514339479597057,True,True,True
1422277309592129537,1196514339479597057,False,True,False
1385311236426895360,1196514339479597057,True,True,True
1497182160226328577,1196514339479597057,True,True,True
146206169,1196514339479597057,False,True,False
1437838902962835465,1196514339479597057,True,True,True
1055975316,1196514339479597057,False,True,False
240638933,1196514339479597057,True,True,True
90607993,1196514339479597057,True,True,True
1147725636372332545,1196514339479597057,True,True,True
1353720192925315072,1196514339479597057,True,True,True
2807316332,1196514339479597057,False,True,False
2893314758,1196514339479597057,False,True,False
2292530432,1196514339479597057,True,True,True
1444696292496642060,1196514339479597057,True,True,True
2923107932,1196514339479597057,True,True,True
1449467032315990019,1196514339479597057,True,True,True
1339155820643225601,1196514339479597057,False,True,False
1281334439025553408,1196514339479597057,False,True,False
1493899374954303489,1196514339479597057,False,True,False
708912985230553088,1196514339479597057,True,True,True
1329899442875535360,1196514339479597057,True,True,True
858589626704961536,1196514339479597057,False,True,False
1478994675193290753,1196514339479597057,False,True,False
1339307181057994754,1196514339479597057,True,True,True
548316295,1196514339479597057,False,True,False
182855700,1196514339479597057,False,True,False
1427145408036343808,1196514339479597057,True,True,True
721999370808221696,1196514339479597057,False,True,False
116533188,1196514339479597057,False,True,False
1101829357348229120,1196514339479597057,True,True,True
2728824895,1196514339479597057,True,True,True
1489480303479562241,1196514339479597057,False,True,False
1244919905625026560,1196514339479597057,True,True,True
1468304428293894146,1196514339479597057,True,True,True
743120036814934016,1196514339479597057,False,True,False
812850482859294720,1196514339479597057,True,True,True
1128198345833447424,1196514339479597057,False,True,False
1156887158239748096,1196514339479597057,False,True,False
1466712326564892673,1196514339479597057,True,True,True
129555473,1196514339479597057,True,True,True
188560675,1196514339479597057,True,True,True
183459223,1196514339479597057,True,True,True
931220515,1196514339479597057,True,True,True
1385522205459730433,1196514339479597057,False,True,False
197783157,1196514339479597057,True,True,True
1287785893928075264,1196514339479597057,True,True,True
1444298778564087813,1196514339479597057,True,True,True
1497523629634256900,1196514339479597057,False,True,False
1281673937395621888,1196514339479597057,True,True,True
213227965,1196514339479597057,False,True,False
1457667176727412743,1196514339479597057,False,True,False
1243460169566056448,1196514339479597057,True,True,True
1285456367608836097,1196514339479597057,False,True,False
